Wort,Count
Kosten,0.663865546218487
Qualität,0.243697478991597
Anpassbarkeit,0.19327731092437
Sicherheit,0.176470588235294
Community,0.168067226890756
Benutzerfreundlichkeit,0.126050420168067
Transparenz,0.126050420168067
Verfügbarkeit,0.117647058823529
Frei,0.092436974789916
Unabhängigkeit,0.0840336134453782
Grundeinstellung,0.0672268907563025
Funktionalität,0.0504201680672269
Nützlich,0.0504201680672269
Zufall,0.0420168067226891
Innovation,0.0420168067226891
Entwickler Community,0.0336134453781513
Vertrauen,0.0336134453781513
Datenschutz,0.0336134453781513
Erfahrung,0.0252100840336134
Notwendig,0.0252100840336134
Code Veränderbarkeit,0.0252100840336134
Weiterentwicklung,0.0168067226890756
Hilfreich,0.0168067226890756
Auswahl,0.0168067226890756
Alternativlos,0.0168067226890756
Unbewusste Nutzung,0.00840336134453781
Testversion,0.00840336134453781
Indirekte Nutzung,0.00840336134453781
Kompatibilität,0.00840336134453781
-,0.478991596638655
